t2,cos_sim,t1
m15k_t20,0.13042103968413227,m15k_t15
m15k_t21,0.035679437104987444,m15k_t15
m15k_t22,0.071479578598777863,m15k_t15
m15k_t23,0.017381520002609341,m15k_t15
m15k_t24,0.09342319840709748,m15k_t15
m15k_t25,0.090584220070584337,m15k_t15
m10k_t1,0.10147732647058107,m15k_t16
m10k_t2,0.37739346528571083,m15k_t16
m10k_t3,0.11507940071528146,m15k_t16
m10k_t4,0.041604622267830856,m15k_t16
m10k_t5,0.050098075492060024,m15k_t16
m10k_t6,0.11072884151315884,m15k_t16
m10k_t7,0.033528544591198702,m15k_t16
m10k_t8,0.19747670886921087,m15k_t16
m10k_t9,0.077271555781482454,m15k_t16
m10k_t10,0.091670862088402472,m15k_t16
m15k_t11,0.028490651128384226,m15k_t16
m15k_t12,0.01804847469384881,m15k_t16
m15k_t13,0.14869795705432157,m15k_t16
m15k_t14,0.096881122802709413,m15k_t16
m15k_t15,0.065037015906058565,m15k_t16
m15k_t16,0.99999999999999956,m15k_t16
m15k_t17,0.012508462565543218,m15k_t16
m15k_t18,0.04295416097186254,m15k_t16
m15k_t19,0.050325140811332859,m15k_t16
m15k_t20,0.034582916860050904,m15k_t16
m15k_t21,0.01878659798629144,m15k_t16
m15k_t22,0.054731161821863807,m15k_t16
m15k_t23,0.029116291909759465,m15k_t16
m15k_t24,0.024934657567559693,m15k_t16
m15k_t25,0.14199228753072604,m15k_t16
m10k_t1,0.12803467508726249,m15k_t17
m10k_t2,0.2155581881324693,m15k_t17
m10k_t3,0.17144037279301189,m15k_t17
m10k_t4,0.088484188945376907,m15k_t17
m10k_t5,0.081628484786119976,m15k_t17
m10k_t6,0.17154675083529181,m15k_t17
m10k_t7,0.0043126584099897752,m15k_t17
m10k_t8,0.13420867845217205,m15k_t17
m10k_t9,0.086324919698349142,m15k_t17
m10k_t10,0.13088775724275167,m15k_t17
m15k_t11,0.18126638967232039,m15k_t17
m15k_t12,0.0083690460884282697,m15k_t17
m15k_t13,0.16989831885520096,m15k_t17
m15k_t14,0.081269340797365849,m15k_t17
m15k_t15,0.013536306815676798,m15k_t17
m15k_t16,0.012508462565543218,m15k_t17
m15k_t17,1.0000000000000004,m15k_t17
m15k_t18,0.024173320200236912,m15k_t17
m15k_t19,0.026176852364977115,m15k_t17
m15k_t20,0.057457059040477446,m15k_t17
m15k_t21,0.08769315479151861,m15k_t17
m15k_t22,0.0087619240332270105,m15k_t17
m15k_t23,0.073812539686387152,m15k_t17
m15k_t24,0.0068232647369153307,m15k_t17
m15k_t25,0.082583594371469171,m15k_t17
m10k_t1,0.092057771285771695,m15k_t18
m10k_t2,0.13058087380810249,m15k_t18
m10k_t3,0.076325966022196268,m15k_t18
m10k_t4,0.038354723808728231,m15k_t18
m10k_t5,0.289506928047783,m15k_t18
m10k_t6,0.077412171881151182,m15k_t18
m10k_t7,0.31388075923724684,m15k_t18
